,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,dores do indaia,-19.46,-45.6,74.43,52,58,3.98,BR,1594927654
290,celestun,20.87,-90.4,89.19,57,0,13.87,MX,1594927654
291,meligalas,37.22,21.97,79.0,69,0,8.05,GR,1594927654
292,road town,18.42,-64.62,87.8,62,40,8.05,VG,1594927655
293,san jeronimo,-11.95,-75.28,61.97,38,21,4.14,PE,1594927655
294,kosonsoy,41.26,71.55,84.2,23,20,9.17,UZ,1594927655
295,dzhebariki-khaya,62.22,135.8,57.22,67,0,2.06,RU,1594927655
296,sri aman,1.24,111.46,73.4,100,100,1.14,MY,1594927655
297,port hedland,-20.32,118.57,53.6,71,0,8.05,AU,1594927656
298,tombouctou,20.0,-3.0,98.47,26,100,8.25,ML,1594927656
299,benicarlo,40.42,0.43,73.0,77,2,3.0,ES,1594927656
300,nanortalik,60.14,-45.24,51.19,54,20,10.74,GL,1594927491
301,bethel,41.37,-73.41,77.0,64,75,8.05,US,1594927516
302,marawi,8.0,124.29,75.0,91,100,4.0,PH,1594927657
303,mildura,-34.2,142.15,32.0,82,0,5.59,AU,1594927657
304,boromlya,50.62,34.97,59.63,80,72,4.45,UA,1594927657
305,samarai,-10.62,150.67,76.48,88,100,15.82,PG,1594927384
306,padang,-0.95,100.35,77.83,84,100,8.21,ID,1594927658
307,mezen,65.85,44.24,56.77,68,100,7.16,RU,1594927658
308,praia da vitoria,38.73,-27.07,71.6,78,75,11.36,PT,1594927658
309,buraydah,26.33,43.98,100.4,17,0,6.93,SA,1594927484
310,aswan,24.09,32.91,92.23,15,0,15.37,EG,1594927658
311,molnlycke,57.66,12.12,62.01,72,16,4.7,SE,1594927659
312,evensk,61.95,159.23,51.01,94,100,4.12,RU,1594927659
313,rawson,-43.3,-65.1,45.21,74,75,8.95,AR,1594927659
314,kamaishi,39.27,141.88,62.55,86,94,2.35,JP,1594927660
315,jalu,29.03,21.55,88.93,29,0,15.43,LY,1594927660
316,san miguel de cauri,-10.1,-76.58,82.4,37,20,18.34,PE,1594927660
317,huarmey,-10.07,-78.15,67.5,66,4,10.13,PE,1594927660
318,pemberton,50.32,-122.8,69.8,64,75,5.82,CA,1594927660
319,codajas,-3.84,-62.06,91.92,43,100,3.33,BR,1594927661
320,bara,10.37,10.73,79.18,75,100,7.99,NG,1594927661
321,dunmore east,52.15,-6.99,68.0,77,75,5.82,IE,1594927661
322,torbay,47.67,-52.73,50.0,100,90,21.92,CA,1594927662
323,dayong,25.02,118.29,82.4,88,9,6.71,CN,1594927662
324,nouadhibou,20.93,-17.03,71.6,83,0,12.75,MR,1594927662
325,rio grande,-32.03,-52.1,52.0,87,100,9.17,BR,1594927641
326,cap malheureux,-19.98,57.61,68.0,77,0,5.01,MU,1594927663
327,huilong,31.81,121.66,72.0,91,48,1.99,CN,1594927663
328,akdepe,42.06,59.38,84.2,35,0,6.93,TM,1594927663
329,tokoroa,-38.23,175.87,48.0,88,100,7.0,NZ,1594927664
330,ivanteyevka,55.97,37.92,61.0,82,75,6.71,RU,1594927664
331,seymchan,62.88,152.43,52.83,85,98,5.46,RU,1594927664
332,vadso,70.07,29.75,62.6,87,75,6.93,NO,1594927664
333,arkhangelskoye,55.85,35.33,54.05,98,98,7.4,RU,1594927665
334,bilibino,68.05,166.44,45.72,90,100,2.44,RU,1594927665
335,atar,20.52,-13.05,98.6,25,1,6.93,MR,1594927665
336,roald,62.58,6.13,62.01,77,75,10.29,NO,1594927665
337,tekeli,44.83,78.82,66.51,32,0,9.42,KZ,1594927665
338,bandarbeyla,9.49,50.81,83.97,53,0,25.41,SO,1594927508
339,yelan-kolenovskiy,51.16,41.15,57.97,83,0,4.05,RU,1594927666
340,pontal do parana,-25.65,-48.51,60.8,72,40,11.41,BR,1594927666
341,birao,10.28,22.79,73.08,92,86,1.74,CF,1594927666
342,jinchang,38.5,102.17,66.94,51,70,5.21,CN,1594927667
343,jacareacanga,-6.22,-57.75,93.2,46,16,4.7,BR,1594927667
344,paamiut,61.99,-49.67,44.51,84,27,21.77,GL,1594927496
345,thompson,55.74,-97.86,60.8,82,75,13.87,CA,1594927415
346,barkly west,-28.54,24.52,33.8,40,0,1.12,ZA,1594927667
347,richards bay,-28.78,32.04,57.18,73,0,4.27,ZA,1594927668
348,nanchang,28.68,115.88,80.01,87,100,2.68,CN,1594927668
349,gambiran,-6.8,111.5,74.39,88,8,4.18,ID,1594927668
350,kushima,31.46,131.23,71.38,92,83,2.62,JP,1594927668
351,takoradi,4.88,-1.76,75.42,83,1,8.57,GH,1594927669
352,baykit,61.67,96.37,53.13,88,64,8.63,RU,1594927669
353,muisne,0.6,-80.03,78.17,81,70,8.21,EC,1594927669
354,vostok,46.49,135.88,58.33,96,62,4.18,RU,1594927669
355,languyan,5.26,120.08,77.95,84,100,4.81,PH,1594927670
356,pasinler,39.98,41.68,68.0,56,40,9.17,TR,1594927670
357,zaysan,47.47,84.87,71.92,42,0,7.0,KZ,1594927671
358,tilichiki,60.47,166.1,49.78,100,100,0.94,RU,1594927671
359,touros,-5.2,-35.46,77.0,83,75,9.17,BR,1594927486
360,la ronge,55.1,-105.28,64.4,63,90,12.75,CA,1594927671
361,bielsko-biala,49.82,19.05,57.99,3,98,3.0,PL,1594927671
362,okha,53.57,142.95,57.38,88,100,5.46,RU,1594927465
363,makakilo city,21.35,-158.09,80.6,65,40,5.82,US,1594927672
364,atambua,-9.11,124.89,69.76,90,19,4.43,ID,1594927670
365,dawei,14.08,98.2,73.87,91,98,1.1,MM,1594927499
366,krasnoyarskiy,51.97,59.9,73.04,44,0,8.7,RU,1594927672
367,blackwater,-23.58,148.88,44.06,65,0,7.29,AU,1594927673
368,moerai,-22.43,-151.33,68.97,68,100,10.25,PF,1594927673
369,cabo san lucas,22.89,-109.91,91.4,66,5,11.41,MX,1594927464
370,srednekolymsk,67.45,153.68,48.88,56,100,5.26,RU,1594927673
371,namibe,-15.2,12.15,69.26,49,0,3.83,AO,1594927674
372,kayerkan,69.35,87.76,48.2,87,40,11.18,RU,1594927674
373,santiago,-33.46,-70.65,53.6,58,100,2.44,CL,1594927467
374,mundwa,27.07,73.82,95.4,41,0,8.05,IN,1594927674
375,abalak,58.13,68.59,72.03,78,0,4.61,RU,1594927675
376,la palma,33.85,-118.05,81.0,50,1,8.43,US,1594927675
377,sur,22.57,59.53,85.87,63,0,8.48,OM,1594927675
378,sistranda,63.73,8.83,60.8,67,40,6.93,NO,1594927675
379,progreso,21.28,-89.67,98.01,52,75,11.41,MX,1594927676
380,odweyne,9.41,45.06,72.55,43,66,21.16,SO,1594927676
381,tsaratanana,-16.78,47.65,67.57,65,3,13.47,MG,1594927676
382,avera,33.19,-82.53,93.2,49,1,5.82,US,1594927676
383,safford,32.83,-109.71,98.6,22,1,8.05,US,1594927677
384,boa vista,2.82,-60.67,87.8,58,75,6.93,BR,1594927547
385,subkhankulovo,54.56,53.81,67.87,90,100,4.12,RU,1594927501
386,ukiah,39.15,-123.21,86.0,39,1,3.36,US,1594927639
387,jamestown,42.1,-79.24,78.01,88,90,8.05,US,1594927465
388,dieppe,49.75,1.17,64.0,77,90,4.7,FR,1594927678
389,coquimbo,-29.95,-71.34,55.4,76,20,9.17,CL,1594927678
390,caucaia,-3.74,-38.65,84.2,54,20,16.11,BR,1594927678
391,djibo,14.1,-1.63,89.76,45,18,5.53,BF,1594927678
392,mezhdurechensk,53.69,88.06,57.6,91,0,1.32,RU,1594927660
393,port-gentil,-0.72,8.78,77.0,83,75,14.23,GA,1594927679
394,longhua,23.61,114.19,78.89,88,97,2.44,CN,1594927679
395,pingzhuang,42.04,119.29,72.0,62,79,7.16,CN,1594927679
396,biltine,14.53,20.92,87.13,44,0,12.68,TD,1594927563
397,khudumelapye,-23.88,24.75,44.6,52,0,6.29,BW,1594927680
398,bereda,43.27,-7.54,64.99,84,99,11.99,ES,1594927680
399,ahar,38.48,47.07,70.0,51,0,4.85,IR,1594927680
400,mayumba,-3.43,10.66,72.72,89,100,4.23,GA,1594927681
401,presidencia roque saenz pena,-26.79,-60.44,68.88,59,26,4.41,AR,1594927681
402,havelock,34.88,-76.9,87.01,77,99,5.01,US,1594927446
403,meadow lake,34.8,-106.54,91.4,23,40,6.64,US,1594927460
404,dwarka,22.24,68.97,84.34,76,100,10.96,IN,1594927682
405,aparan,40.59,44.36,80.6,60,20,20.8,AM,1594927682
406,tuatapere,-46.13,167.68,33.13,94,54,4.09,NZ,1594927683
407,san carlos de bariloche,-41.15,-71.31,39.2,80,90,3.36,AR,1594927683
408,ayr,55.46,-4.63,66.2,68,75,6.93,GB,1594927683
409,rodrigues alves,-7.74,-72.65,86.0,74,40,3.36,BR,1594927684
410,riyadh,24.69,46.72,96.8,15,37,5.82,SA,1594927601
411,capreol,46.71,-80.92,73.99,88,75,4.7,CA,1594927684
412,maragogi,-9.01,-35.22,76.87,79,18,13.71,BR,1594927407
413,praia,14.92,-23.51,80.6,61,75,13.87,CV,1594927684
414,korla,41.76,86.15,77.0,79,0,5.01,CN,1594927685
415,olga,43.74,135.29,60.58,91,0,3.4,RU,1594927685
416,lockport,41.59,-88.06,82.0,61,40,3.36,US,1594927685
417,egvekinot,66.32,-179.17,51.26,84,38,1.66,RU,1594927685
418,aykhal,66.0,111.5,51.8,76,0,4.47,RU,1594927686
419,saint-joseph,-21.37,55.62,66.2,77,75,2.24,RE,1594927686
420,bloomingdale,27.89,-82.24,95.0,66,40,3.36,US,1594927654
421,port blair,11.67,92.75,80.71,80,100,7.4,IN,1594927520
422,vila velha,-20.33,-40.29,73.4,69,75,11.41,BR,1594927687
423,yerbogachen,61.28,108.01,48.43,90,0,5.59,RU,1594927687
424,zhangye,38.93,100.45,68.67,47,24,5.59,CN,1594927687
425,biak,-0.91,122.88,75.02,83,33,2.86,ID,1594927471
426,urumqi,43.8,87.6,78.8,36,0,8.95,CN,1594927687
427,kozhanka,49.98,29.74,64.4,59,93,4.47,UA,1594927688
428,shaunavon,49.65,-108.42,77.63,36,0,9.84,CA,1594927688
429,marienburg,54.04,19.03,63.0,82,20,8.05,PL,1594927688
430,ust-kuyga,70.02,135.6,41.79,77,0,6.26,RU,1594927689
431,ravar,31.27,56.81,88.88,15,97,6.8,IR,1594927689
432,mitsamiouli,-11.38,43.28,73.4,78,75,20.8,KM,1594927689
433,lourdes,43.1,-0.05,64.4,77,90,4.7,FR,1594927690
434,carmen,18.63,-91.83,89.6,62,75,11.41,MX,1594927690
435,lagoa,39.05,-27.98,68.43,78,56,12.44,PT,1594927690
436,xining,36.62,101.77,56.35,79,32,1.77,CN,1594927553
437,arlit,18.74,7.39,92.71,30,0,24.72,NE,1594927497
438,kulunda,52.57,78.94,66.79,80,1,9.22,RU,1594927691
439,plouzane,48.38,-4.62,62.6,82,90,6.93,FR,1594927691
440,ilulissat,69.22,-51.1,48.2,70,75,5.82,GL,1594927478
441,carutapera,-1.2,-46.02,81.32,80,13,8.23,BR,1594927691
442,qom,34.64,50.88,83.37,32,54,10.36,IR,1594927524
443,cruzilia,-21.84,-44.81,63.99,73,92,4.61,BR,1594927692
444,terrace bay,48.78,-87.1,64.4,82,75,6.93,CA,1594927692
445,puntarenas,9.98,-84.84,84.2,39,0,20.8,CR,1594927630
446,fare,-16.7,-151.02,75.92,88,100,18.54,PF,1594927510
447,genthin,52.4,12.17,64.99,54,0,4.03,DE,1594927693
448,bakaly,55.18,53.8,67.15,85,99,2.68,RU,1594927693
449,ancud,-41.87,-73.82,53.01,93,90,12.75,CL,1594927693
450,camana,-16.62,-72.71,64.29,72,64,7.02,PE,1594927693
451,dunedin,-45.87,170.5,39.99,70,84,20.0,NZ,1594927468
452,cherskiy,68.75,161.3,48.06,64,100,3.58,RU,1594927694
453,ko samui,9.54,99.94,83.68,77,100,13.44,TH,1594927694
454,faya,18.39,42.45,73.4,64,40,18.34,SA,1594927695
455,yarim,14.3,44.38,61.9,69,99,4.72,YE,1594927695
456,concepcion,-36.83,-73.05,55.4,82,90,13.87,CL,1594927504
457,martapura,-3.42,114.85,73.36,96,74,1.19,ID,1594927695
458,puerto del rosario,28.5,-13.86,82.4,58,0,14.99,ES,1594927418
459,khandyga,62.67,135.6,57.36,64,0,1.36,RU,1594927516
460,salalah,17.02,54.09,82.4,94,75,8.05,OM,1594927696
461,palanga,55.92,21.07,62.6,93,27,1.12,LT,1594927696
462,el tocuyo,9.79,-69.79,84.2,51,88,14.99,VE,1594927696
463,cockburn town,21.46,-71.14,87.8,58,40,14.99,TC,1594927552
464,isangel,-19.55,169.27,66.2,93,5,4.7,VU,1594927697
465,mecca,21.43,39.83,84.83,26,0,3.33,SA,1594927697
466,bima,-8.47,118.72,70.27,85,0,2.01,ID,1594927698
467,bridgton,44.05,-70.71,71.01,80,90,8.5,US,1594927698
468,jonkoping,57.78,14.16,64.4,82,17,3.36,SE,1594927698
469,goderich,43.75,-81.72,72.0,93,100,1.99,CA,1594927698
470,verkhnevilyuysk,63.45,120.32,55.49,87,1,4.29,RU,1594927698
471,rabaul,-4.2,152.17,78.82,80,0,5.53,PG,1594927699
472,balsas,-7.53,-46.04,93.22,29,86,8.25,BR,1594927404
473,lazurne,46.08,32.53,72.0,52,100,3.0,UA,1594927699
474,neiafu,-18.65,-173.98,77.0,88,75,9.17,TO,1594927482
475,sangmelima,2.93,11.98,67.95,96,100,3.6,CM,1594927699
476,koshurnikovo,54.17,93.3,50.47,95,99,1.16,RU,1594927700
477,babu,24.42,111.52,78.53,85,100,3.31,CN,1594927700
478,hamilton,39.18,-84.53,89.01,62,75,16.11,US,1594927681
479,carupano,10.67,-63.26,85.41,66,49,12.97,VE,1594927700
480,chapleau,47.84,-83.4,78.8,41,75,8.05,CA,1594927701
481,kysyl-syr,63.9,122.76,61.57,89,93,6.71,RU,1594927701
482,new smyrna beach,29.03,-80.93,89.6,62,40,9.17,US,1594927449
483,faanui,-16.48,-151.75,75.74,88,100,17.27,PF,1594927461
484,poyarkovo,49.6,128.68,71.53,74,100,6.38,RU,1594927702
485,scarborough,54.28,-0.4,66.0,81,95,4.03,GB,1594927702
486,brae,60.4,-1.35,55.4,93,100,10.29,GB,1594927702
487,saquarema,-22.92,-42.51,71.6,64,75,8.05,BR,1594927702
488,rio tercero,-32.17,-64.11,66.99,31,0,1.01,AR,1594927703
489,olafsvik,64.89,-23.71,49.37,79,100,22.66,IS,1594927703
490,edd,13.93,41.69,90.68,53,100,7.29,ER,1594927703
491,savannah bight,16.45,-85.85,82.94,76,99,6.85,HN,1594927703
492,naze,28.37,129.48,80.6,94,75,12.75,JP,1594927705
493,conakry,9.54,-13.68,78.8,83,75,11.41,GN,1594927705
494,zaraza,9.35,-65.32,85.78,75,73,2.13,VE,1594927705
495,kizner,56.27,51.51,66.87,84,100,0.85,RU,1594927706
496,turukhansk,65.82,87.98,46.08,84,0,15.75,RU,1594927706
497,funadhoo,6.15,73.27,83.84,79,100,11.5,MV,1594927706
498,lambare,-25.35,-57.61,84.2,58,84,3.36,PY,1594927707
499,aljezur,37.32,-8.8,84.99,50,0,6.6,PT,1594927707
500,honiara,-9.43,159.95,71.6,94,20,2.24,SB,1594927662
501,ampanihy,-24.7,44.75,59.05,78,1,8.77,MG,1594927707
502,alpine,32.84,-116.77,84.0,47,5,5.82,US,1594927593
503,shimoda,34.67,138.95,69.8,100,75,10.29,JP,1594927708
504,aripuana,-9.17,-60.63,97.34,21,0,1.86,BR,1594927708
505,chingirlau,51.09,54.08,76.75,71,22,14.29,KZ,1594927708
506,chipata,-13.63,32.65,51.17,67,0,11.43,ZM,1594927709
507,seydi,39.48,62.91,87.62,13,3,12.91,TM,1594927670
508,camacari,-12.7,-38.32,73.4,94,90,6.93,BR,1594927604
509,baza,37.49,-2.77,82.0,52,1,8.84,ES,1594927709
510,sechura,-5.56,-80.82,73.6,59,8,12.33,PE,1594927709
511,konya,38.17,32.5,80.6,21,0,11.41,TR,1594927710
512,hami,42.8,93.45,78.3,32,81,5.1,CN,1594927710
513,marfino,55.7,37.38,61.0,93,75,11.18,RU,1594927710
514,camaqua,-30.85,-51.81,48.79,94,100,12.82,BR,1594927710
515,formosa,-26.18,-58.18,75.2,60,86,3.36,AR,1594927500
516,deputatskiy,69.3,139.9,37.9,86,9,1.97,RU,1594927711
517,noumea,-22.28,166.46,59.0,82,75,2.24,NC,1594927711
518,mnogovershinnyy,53.94,139.92,57.0,100,85,1.88,RU,1594927711
519,katherine,-14.47,132.27,57.2,47,0,4.7,AU,1594927712
520,bundaberg,-24.85,152.35,52.0,53,0,11.41,AU,1594927712
521,pudozh,61.81,36.53,52.36,94,100,7.18,RU,1594927712
522,san francisco,37.77,-122.42,66.2,63,20,10.29,US,1594927513
523,putina,-15.47,-69.43,49.91,47,0,7.31,PE,1594927712
524,camacha,33.08,-16.33,73.4,69,20,12.75,PT,1594927713
525,sahiwal,31.97,72.33,99.93,31,25,5.61,PK,1594927685
526,flinders,-34.58,150.86,53.01,76,64,10.0,AU,1594927473
527,lethem,3.38,-59.8,88.95,55,68,3.36,GY,1594927713
528,sibolga,1.74,98.78,75.61,83,96,4.52,ID,1594927663
529,natal,-5.79,-35.21,77.0,83,75,9.17,BR,1594927542
530,monastyrshchina,54.35,31.84,54.39,89,53,2.28,RU,1594927714
531,henties bay,-22.12,14.28,64.99,33,0,7.23,NA,1594927714
532,tucuman,-26.82,-65.22,71.6,40,0,3.36,AR,1594927454
533,kenai,60.55,-151.26,61.0,72,1,9.17,US,1594927715
534,cedar city,37.68,-113.06,89.6,13,1,9.17,US,1594927680
535,kieta,-6.22,155.63,78.87,79,100,5.97,PG,1594927514
536,kamenka,51.32,42.77,64.0,62,0,4.97,RU,1594927715
537,veraval,20.9,70.37,82.45,84,93,5.32,IN,1594927470
538,kudahuvadhoo,2.67,72.89,84.74,67,100,3.4,MV,1594927716
539,igarka,67.47,86.58,46.31,87,0,15.97,RU,1594927716
540,candido de abreu,-24.57,-51.33,73.22,56,31,1.57,BR,1594927716
541,bassum,52.85,8.73,68.0,63,0,4.7,DE,1594927716
542,eyl,7.98,49.82,85.05,50,100,23.8,SO,1594927716
543,lucapa,-8.42,20.74,70.77,25,0,4.36,AO,1594927717
544,kodinsk,58.69,99.18,56.25,93,100,9.33,RU,1594927717
545,ballachulish,56.68,-5.13,57.99,96,100,7.65,GB,1594927717
546,santiago del estero,-27.8,-64.26,68.47,35,0,3.67,AR,1594927717
547,muros,42.78,-9.06,75.99,56,0,13.0,ES,1594927718
548,powell river,49.85,-124.54,69.8,73,75,11.41,CA,1594927467
549,sumbe,-11.21,13.84,69.48,86,3,5.57,AO,1594927718
550,orange cove,36.62,-119.31,89.01,48,1,4.14,US,1594927719
551,peniche,39.36,-9.38,88.0,38,0,5.01,PT,1594927719
552,hailar,49.2,119.7,64.49,92,100,6.33,CN,1594927719
553,shingu,33.73,135.98,68.54,93,100,6.2,JP,1594927719
554,porto novo,6.5,2.6,75.2,94,20,9.17,BJ,1594927719
555,basco,20.45,121.97,84.78,80,100,14.38,PH,1594927720
556,okhotsk,59.38,143.3,56.14,90,100,6.73,RU,1594927720
557,sikonge,-5.63,32.77,69.8,52,0,5.82,TZ,1594927720
558,coban,15.48,-90.37,78.85,48,0,4.97,GT,1594927720
559,mittagong,-34.45,150.45,53.01,76,72,10.0,AU,1594927720
560,uyuni,-20.46,-66.83,52.02,33,13,8.25,BO,1594927721
561,mimongo,-1.62,11.61,69.44,91,100,4.85,GA,1594927721
562,dhidhdhoo,6.88,73.1,84.02,78,100,13.0,MV,1594927721
563,lysyye gory,51.55,44.84,62.01,71,5,2.89,RU,1594927721
564,gornopravdinsk,60.05,69.9,68.7,95,100,0.47,RU,1594927722
565,necochea,-38.55,-58.74,57.0,61,11,8.01,AR,1594927681
566,maun,-19.98,23.42,57.2,40,0,9.17,BW,1594927722
567,moriyama,35.07,135.98,73.0,92,100,1.01,JP,1594927722
568,chicama,-7.84,-79.15,72.12,58,4,10.4,PE,1594927672
569,dawlatabad,36.41,64.91,84.58,19,0,4.07,AF,1594927723
570,sarakhs,36.54,61.16,87.49,24,0,16.55,IR,1594927723
571,campechuela,20.23,-77.28,87.1,64,90,8.72,CU,1594927723
572,tautira,-17.73,-149.15,78.8,78,20,4.7,PF,1594927723
573,ojinaga,29.57,-104.42,98.6,19,1,4.05,MX,1594927677
574,caraballeda,10.61,-66.85,79.0,69,70,7.02,VE,1594927724
575,kutum,14.2,24.67,80.71,46,41,13.51,SD,1594927505
576,qasigiannguit,68.82,-51.19,48.2,70,75,5.82,GL,1594927724
577,diamantino,-14.41,-56.45,94.48,14,0,3.06,BR,1594927724
578,grafton,42.21,-71.69,78.01,53,90,9.17,US,1594927725
579,zhuanghe,39.7,122.99,68.54,91,0,3.04,CN,1594927725
580,seshcha,53.74,33.34,55.11,90,99,6.04,RU,1594927725
